"Totals USD","-","2023-01-24","-","25844.00","26714.00","52558.00","52558.00","0.00","0.00","52558.00","445","2","257","192","747","33","56","1,732","475","2","265","186","785","39","54","1,806","0.00","0.00","0.00"
"Site ID","Safe Serial Number","Business Date","Time of EOD","Cassette 1 Cash","Cassette 2 Cash","Cassette Cash Total","Validated Deposit Total","Change Order Funds Total","Envelope Total","Total","Cassette 1 '$1' Count","Cassette 1 '$2' Count","Cassette 1 '$5' Count","Cassette 1 '$10' Count","Cassette 1 '$20' Count","Cassette 1 '$50' Count","Cassette 1 '$100' Count","Cassette 1 Total Count","Cassette 2 '$1' Count","Cassette 2 '$2' Count","Cassette 2 '$5' Count","Cassette 2 '$10' Count","Cassette 2 '$20' Count","Cassette 2 '$50' Count","Cassette 2 '$100' Count","Cassette 2 Total Count","Env Cash","Env Check","Env Other","Currency"
"FF Carl Jr. 7386","SU2016050051","2023-01-24","00:16:41","564.00","510.00","1074.00","1074.00","0.00","0.00","1074.00","79","0","13","8","12","0","1","113","75","0","11","6","11","0","1","104","0.00","0.00","0.00","USD"
"FF Carl Jr. 7362","SU2016050052","2023-01-24","00:15:08","0.00","622.00","622.00","622.00","0.00","0.00","622.00","0","0","0","0","0","0","0","0","27","0","9","8","21","1","0","66","0.00","0.00","0.00","USD"
"FF Carl Jr. 7393","SU2016050054","2023-01-24","00:16:36","513.00","184.00","697.00","697.00","0.00","0.00","697.00","8","0","3","2","6","1","3","23","9","0","1","3","7","0","0","20","0.00","0.00","0.00","USD"
"FF Carl Jr. 7377","SU2016050055","2023-01-24","00:16:05","711.00","726.00","1437.00","1437.00","0.00","0.00","1437.00","16","0","15","5","21","1","1","59","16","0","10","6","25","0","1","58","0.00","0.00","0.00","USD"
"FF Carl Jr. 7376","SU2016050057","2023-01-24","00:15:29","1065.00","871.00","1936.00","1936.00","0.00","0.00","1936.00","5","0","2","5","20","2","5","39","4","1","1","9","26","1","2","44","0.00","0.00","0.00","USD"
"FF Carl Jr. 7365","SU2016050061","2023-01-24","00:17:02","504.00","299.00","803.00","803.00","0.00","0.00","803.00","14","0","6","1","15","1","1","38","14","0","3","1","13","0","0","31","0.00","0.00","0.00","USD"
"FF Carl Jr. 7493","SU2016050063","2023-01-24","00:15:16","581.00","815.00","1396.00","1396.00","0.00","0.00","1396.00","6","0","5","4","13","1","2","31","5","0","6","2","13","2","4","32","0.00","0.00","0.00","USD"
"FF Carl Jr. 7402","SU2016050064","2023-01-24","00:16:12","764.00","925.00","1689.00","1689.00","0.00","0.00","1689.00","4","0","2","3","21","0","3","33","5","0","2","7","27","0","3","44","0.00","0.00","0.00","USD"
"FF Carl Jr. 7383","SU2016050065","2023-01-24","00:15:35","830.00","527.00","1357.00","1357.00","0.00","0.00","1357.00","5","0","11","9","19","0","3","47","2","0","9","4","22","0","0","37","0.00","0.00","0.00","USD"
"FF Carl Jr. 7391","SU2016050069","2023-01-24","00:16:45","703.00","527.00","1230.00","1230.00","0.00","0.00","1230.00","13","0","12","1","21","0","2","49","12","0","13","4","18","1","0","48","0.00","0.00","0.00","USD"
